label,path,exists,result_json_count,summary_csv
cmu20_ablation_analysis,/Users/nagato/workspace/AdsMind/research/results/analysis/cmu20_ablation_20260423/cmu20_ablation_summary.json,True,,False
ocd24_gpt54,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_24_extra14_openai_gpt54_ablation_v1,True,70,True
ocd24_claude,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_24_extra14_anthropic_sonnet46_ablation_v1,True,70,True
ocd24_gemini,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_24_extra14_gemini_vertex_ablation_v1,True,70,True
ocd24_grok4,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_24_extra14_xai_grok4_ablation_v1,True,70,True
rep50_full_gpt54,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_openai_gpt54_full_v1,True,50,True
rep50_full_claude,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_anthropic_sonnet46_full_v1,True,50,True
rep50_full_gemini,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_gemini_vertex_full_v1,True,50,True
rep50_full_grok4,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_xai_grok4_full_v1,True,50,True
rep50_mech_gpt54,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_openai_gpt54_mechanism_v1,True,64,False
rep50_mech_claude,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_anthropic_sonnet46_mechanism_v1,True,42,False
rep50_mech_gemini,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_gemini_vertex_mechanism_v1,True,20,False
rep50_mech_grok4,/Users/nagato/workspace/AdsMind/research/results/ocd_gmae_rep50_xai_grok4_mechanism_v1,True,150,True
mace_large_cmu20,/Users/nagato/workspace/AdsMind/research/results/mace_large_gpt54_cmu20_full_v1,True,20,True
mace_large_ocd_rep10,/Users/nagato/workspace/AdsMind/research/results/mace_large_gpt54_ocd_rep10_full_v1,True,10,True
random_cmu_extra5,/Users/nagato/workspace/AdsMind/research/results/random_baseline_cmu_extra5_n20,True,5,True
heuristic_cmu_extra5,/Users/nagato/workspace/AdsMind/research/results/heuristic_baseline_cmu_extra5,True,2,False
multiseed_seed43,/Users/nagato/workspace/AdsMind/research/results/multiseed_gpt54_cmu20_seed43_full_v1,True,1,False
aa_remote_single_config,/Users/nagato/workspace/AdsMind/research/results/catalystaigent_remote_results/cmu_benchmark_gpt54_single_config,True,0,False
