Case,Full,-Slip,-Forbid,-Term,1-Shot
01,-3.627,-3.627,-3.627,-3.630,-3.557
02,-4.769,-4.764,-4.769,-4.769,-4.343
03,-3.352,-3.352,-3.352,-3.352,-3.352
04,-2.255,-2.255,-2.255,-2.255,-2.243
05,-2.962,-2.962,-2.962,-2.962,-2.843
06,-2.165,-2.165,-1.875,-1.902,
07,-7.031,-7.051,-7.051,-7.031,-6.511
08,-7.191,-7.191,-7.191,-7.191,
09,-1.991,-1.991,-1.991,-1.991,-1.991
10,-2.710,-2.710,-2.710,-2.718,-2.718
11,-2.381,-2.418,-2.418,-2.418,-2.418
12,-2.081,-2.081,-2.351,-2.351,-2.081
13,-2.825,-2.825,-2.825,-2.825,-2.808
14,-3.591,-3.431,-3.591,-3.591,-3.431
15,-3.258,-2.964,-3.385,-3.258,-2.964
16,-4.272,-4.663,-4.663,-4.663,-4.663
17,-3.241,-3.241,-3.241,-3.241,-2.692
18,-2.724,-3.215,-3.215,-3.215,-2.519
19,-4.013,-4.100,-4.149,-4.013,-4.013
20,-11.652,-11.653,-11.650,-11.652,-11.652
