case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,ablation_candidate,notes
01,benchmark_slabs/01_Mo3Pd_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,TRUE,"Strong slip in prior run; Mo3Pd benchmark"
02,benchmark_slabs/02_Mo3Pd_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,TRUE,"Dissociation-prone in prior run; Mo3Pd benchmark"
03,benchmark_slabs/03_Pd3Cu_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,FALSE,"Paper surface label CuPd3"
04,benchmark_slabs/04_Pd3Cu_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,FALSE,"Paper surface label CuPd3; dissociation observed before"
05,benchmark_slabs/05_Cu3Ag_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,FALSE,"Cu3Ag hydrogen benchmark"
06,benchmark_slabs/06_Cu3Ag_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,FALSE,"Cu3Ag NNH benchmark; dissociation observed before"
07,benchmark_slabs/07_Ru3Mo_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,FALSE,"Ru3Mo hydrogen benchmark"
08,benchmark_slabs/08_Ru3Mo_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,FALSE,"Ru3Mo NNH benchmark; strongest prior energy"
09,benchmark_slabs/09_Pt_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,TRUE,"Monometallic ORR baseline; DFT handoff target"
10,benchmark_slabs/10_Pt_100.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(100),ORR,FALSE,"Facet sensitivity test; DFT handoff target"
11,benchmark_slabs/11_Pd_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,FALSE,"Pd ORR benchmark"
12,benchmark_slabs/12_Au_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,FALSE,"Prior runs labeled all final sites as desorbed"
13,benchmark_slabs/13_Ag_100.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(100),ORR,FALSE,"Prior runs labeled all final sites as desorbed"
14,benchmark_slabs/14_CoPt_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,(111),ORR,TRUE,"Bimetallic ORR benchmark; DFT handoff target"
15,benchmark_slabs/15_Cu6Ga2_100.xyz,[CH2]CO,Find the lowest-energy adsorption configuration for the 2-hydroxyethyl radical on the provided surface.,intermetallic,CH2CH2OH,(100),COMPLEX,FALSE,"Resolved from prior AdsMind outputs; local evidence matches formula C2H5O"
16,benchmark_slabs/16_Au2Hf_102.xyz,[CH2]CO,Find the lowest-energy adsorption configuration for the 2-hydroxyethyl radical on the provided surface.,intermetallic,CH2CH2OH,(102),COMPLEX,FALSE,"Resolved from prior AdsMind outputs; strong dissociation previously"
17,benchmark_slabs/17_Rh2Ti2_111.xyz,CC=O,Find the lowest-energy adsorption configuration for acetaldehyde on the provided surface.,intermetallic,OCHCH3,(111),COMPLEX,FALSE,"Best-available reconstruction from sanitized filename CC_O and formula C2H4O"
18,benchmark_slabs/18_Al3Zr_101.xyz,CC=O,Find the lowest-energy adsorption configuration for acetaldehyde on the provided surface.,intermetallic,OCHCH3,(101),COMPLEX,FALSE,"Best-available reconstruction from sanitized filename CC_O and formula C2H4O"
19,benchmark_slabs/19_Hf2Zn6_110.xyz,CC=O,Find the lowest-energy adsorption configuration for acetaldehyde on the provided surface.,intermetallic,OCHCH3,(110),COMPLEX,TRUE,"Best-available reconstruction from sanitized filename CC_O and formula C2H4O; large-adsorbate ablation candidate"
20,benchmark_slabs/20_Bi2Ti6_211.xyz,CN(C)N=O,Find the lowest-energy adsorption configuration for dimethylnitrosamine on the provided surface.,intermetallic,ONN(CH3)2,(211),COMPLEX,FALSE,"Recovered from top-level results artifacts; case directory is empty and needs archival repair"
