case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.6317179203033447,0.0,5,0,0.0,True,4,0,35177
02,full,-4.765958786010742,0.0,5,0,0.0,True,4,0,38503
03,full,-3.351963758468628,0.0,5,0,0.0,True,3,0,35502
04,full,-2.2549095153808594,0.0,5,0,0.0,True,3,2,39382
05,full,-2.961628675460815,0.0,5,0,0.0,True,3,0,33755
06,full,-1.8745841979980469,0.0,5,0,0.0,True,1,2,32893
07,full,-7.051090955734253,0.0,5,0,0.0,True,5,0,37815
08,full,-6.414363861083984,0.0,4,0,0.0,True,3,3,30243
09,full,-1.9739322662353516,0.0,3,0,0.0,True,1,0,26737
10,full,-2.7176666259765625,0.0,4,0,0.0,True,3,0,36868
11,full,-2.4184722900390625,0.0,3,0,0.0,True,2,0,29428
12,full,-2.3513641357421875,0.0,3,0,0.0,True,2,0,28005
13,full,-2.8251419067382812,0.0,4,0,0.0,True,3,0,38008
14,full,-3.616632461547851,0.0,5,0,0.0,True,3,0,34313
15,full,-3.257709503173828,0.0,5,1,0.2,True,2,0,36716
16,full,-4.662910461425781,0.0,5,0,0.0,True,2,1,34117
17,full,-2.865570068359375,0.0,3,0,0.0,True,3,1,29558
18,full,-3.1291351318359375,0.0,5,0,0.0,True,5,0,42479
19,full,-4.044700622558594,0.0,3,0,0.0,True,3,0,21384
20,full,-11.652645111083984,0.0,5,1,0.2,True,4,0,39054
